transaction_id,date,time,branch,customer_name,product,category,quantity,unit_price,total_amount,payment_method,staff_name,loyalty_member
TXN-00145,2024-12-06,17:00,Makati,Tanya Lopez,Cheese Danish,Pastry,1,90.0,90.0,Credit Card,Ryan Go,True
TXN-00146,2024-11-21,13:30,Mandaluyong,Ana Flores,Iced Americano,Cold Drinks,1,130.0,130.0,Cash,Alvin Santos,True
TXN-00147,2024-01-23,12:30,Ortigas,Patricia Aquino,Blueberry Muffin,Pastry,3,85.0,255.0,GCash,Rina Ocampo,True
TXN-00148,2024-08-22,07:30,Pasig,Jose Flores,Brewed Coffee,Hot Drinks,3,95.0,285.0,Debit Card,Mira Flores,False
TXN-00149,2024-05-09,07:15,Alabang,Jose De Leon,Matcha Latte,Cold Drinks,3,160.0,480.0,Maya,Mark Tan,False
TXN-00150,2024-08-11,13:45,Ortigas,Ramon Aquino,Matcha Latte,Cold Drinks,5,160.0,800.0,Maya,Diana Reyes,True
TXN-00151,2024-08-05,08:45,BGC,Andrea Reyes,Blueberry Muffin,Pastry,2,85.0,170.0,Maya,Diana Reyes,False
TXN-00152,2024-08-16,16:45,Alabang,Jose Aquino,Americano,Hot Drinks,1,120.0,120.0,Debit Card,Mira Flores,False
TXN-00153,2024-11-23,19:00,Quezon City,Miguel Santos,Americano,Hot Drinks,1,120.0,120.0,Debit Card,Ryan Go,True
TXN-00154,2024-03-05,08:15,Quezon City,Clara Santos,Cheese Danish,Pastry,1,90.0,90.0,Credit Card,Alvin Santos,False
TXN-00155,2024-08-15,19:00,Pasig,Lea Flores,Blueberry Muffin,Pastry,2,85.0,170.0,GCash,Mark Tan,True
TXN-00156,2024-04-05,14:45,Ortigas,Isabella Aquino,Chocolate Croissant,Pastry,1,95.0,95.0,GCash,Diana Reyes,False
TXN-00157,2024-04-12,08:15,Alabang,Patricia Reyes,Americano,Hot Drinks,1,120.0,120.0,Maya,Mark Tan,False
TXN-00158,2024-06-02,20:15,BGC,Tanya Garcia,Blueberry Muffin,Pastry,3,85.0,255.0,GCash,Rina Ocampo,True
TXN-00159,2024-09-09,07:30,BGC,Felix Cruz,Banana Bread,Pastry,1,80.0,80.0,Cash,Diana Reyes,False
TXN-00160,2024-09-02,15:45,BGC,Andrea Bautista,Cold Brew,Cold Drinks,1,150.0,150.0,Credit Card,Ryan Go,False
TXN-00161,2024-03-06,20:15,BGC,Jose De Leon,Americano,Hot Drinks,2,120.0,240.0,Debit Card,Rina Ocampo,False
TXN-00162,2024-03-25,09:30,Pasig,Tanya Gonzales,Blueberry Muffin,Pastry,1,85.0,85.0,Cash,Diana Reyes,True
TXN-00163,2024-11-21,15:30,Quezon City,Ana Lopez,Cappuccino,Hot Drinks,2,145.0,290.0,Debit Card,Rina Ocampo,True
TXN-00164,2024-12-03,16:30,Makati,Maria Reyes,Chocolate Croissant,Pastry,3,95.0,285.0,Debit Card,Diana Reyes,True
TXN-00165,2024-10-19,13:00,Mandaluyong,Carlos Mendoza,Cold Brew,Cold Drinks,1,150.0,150.0,Credit Card,Diana Reyes,False
TXN-00166,2024-02-07,18:00,Alabang,Patricia Garcia,Americano,Hot Drinks,1,120.0,120.0,Debit Card,Rina Ocampo,False
TXN-00167,2024-06-12,18:30,BGC,Tanya Lopez,Iced Caramel Latte,Cold Drinks,3,165.0,495.0,Maya,Paolo Cruz,False
TXN-00168,2024-03-03,11:45,Cubao,Carlos Ramos,Caramel Latte,Hot Drinks,1,155.0,155.0,GCash,Rina Ocampo,False
TXN-00169,2024-10-22,18:30,Ortigas,Tanya Mendoza,Caramel Latte,Hot Drinks,2,155.0,310.0,Maya,Ryan Go,True
TXN-00170,2024-02-16,13:45,Pasig,Jose Santos,Caramel Latte,Hot Drinks,2,155.0,310.0,Credit Card,Ryan Go,False
TXN-00171,2024-10-01,07:00,Cubao,Marco Castillo,Iced Caramel Latte,Cold Drinks,3,165.0,495.0,Maya,Jessa Lim,False
TXN-00172,2024-01-27,16:15,Ortigas,Lea Lopez,Cold Brew,Cold Drinks,1,150.0,150.0,Debit Card,Diana Reyes,True
TXN-00173,2024-03-06,08:45,Quezon City,Marco Castillo,Matcha Latte,Cold Drinks,2,160.0,320.0,GCash,Mira Flores,True
TXN-00174,2024-01-24,07:15,Quezon City,Tanya Mendoza,Cheese Danish,Pastry,3,90.0,270.0,Debit Card,Rina Ocampo,False
TXN-00175,2024-11-09,12:15,Alabang,Carlos Villanueva,Cold Brew,Cold Drinks,2,150.0,300.0,Debit Card,Ryan Go,False
TXN-00176,2024-08-31,20:00,Pasig,Nico Villanueva,Matcha Latte,Cold Drinks,2,160.0,320.0,Cash,Ryan Go,False
TXN-00177,2024-12-01,19:15,Cubao,Miguel Lopez,Chocolate Croissant,Pastry,2,95.0,190.0,GCash,Paolo Cruz,True
TXN-00178,2024-10-20,18:00,Cubao,Nico Cruz,Brewed Coffee,Hot Drinks,1,95.0,95.0,GCash,Mira Flores,False
TXN-00179,2024-02-01,18:15,Cubao,Ramon Lopez,Blueberry Muffin,Pastry,2,85.0,170.0,Maya,Rina Ocampo,False
TXN-00180,2024-09-29,12:30,Pasig,Sofia Garcia,Cheese Danish,Pastry,2,90.0,180.0,Debit Card,Diana Reyes,True
TXN-00181,2024-06-01,19:30,Ortigas,Ramon Flores,Blueberry Muffin,Pastry,2,85.0,170.0,Maya,Diana Reyes,False
TXN-00182,2024-03-03,16:45,Makati,Carla Torres,Matcha Latte,Cold Drinks,4,160.0,640.0,Maya,Mark Tan,False
TXN-00183,2024-08-14,17:30,Pasig,Felix Torres,Cinnamon Roll,Pastry,1,100.0,100.0,GCash,Mark Tan,True
TXN-00184,2024-05-04,07:15,Ortigas,Nico Flores,Blueberry Muffin,Pastry,1,85.0,85.0,Cash,Rina Ocampo,True
TXN-00185,2024-10-08,09:45,Pasig,Sofia Castillo,Cinnamon Roll,Pastry,2,100.0,200.0,Maya,Diana Reyes,True
TXN-00186,2024-02-15,17:15,Quezon City,Miguel Ramos,Chocolate Croissant,Pastry,4,95.0,380.0,Cash,Mira Flores,False
TXN-00187,2024-04-05,18:30,Alabang,Renz Reyes,Brewed Coffee,Hot Drinks,1,95.0,95.0,Maya,Ryan Go,False
TXN-00188,2024-03-09,20:45,Ortigas,Andrea Cruz,Iced Caramel Latte,Cold Drinks,3,165.0,495.0,Maya,Rina Ocampo,True
TXN-00189,2024-06-21,19:30,Cubao,Lea De Leon,Blueberry Muffin,Pastry,1,85.0,85.0,Debit Card,Alvin Santos,True
TXN-00190,2024-07-24,17:00,Pasig,Luis Santos,Caramel Latte,Hot Drinks,2,155.0,310.0,Credit Card,Paolo Cruz,False
TXN-00191,2024-05-16,12:30,Mandaluyong,Marco Aquino,Banana Bread,Pastry,1,80.0,80.0,Cash,Mark Tan,False
TXN-00192,2024-06-06,09:45,BGC,Carlos Aquino,Banana Bread,Pastry,4,80.0,320.0,Maya,Alvin Santos,True
TXN-00193,2024-04-22,09:45,Cubao,Renz Flores,Americano,Hot Drinks,2,120.0,240.0,Debit Card,Ryan Go,True
TXN-00194,2024-05-06,17:00,BGC,Marco Reyes,Cinnamon Roll,Pastry,2,100.0,200.0,Cash,Paolo Cruz,True
